ticker,name,market,locale,type,currency,active,primaryExch,updated,codes,url
A,Agilent Technologies Inc.,STOCKS,US,CS,USD,True,NYE,2020-10-26,"{'cik': '0001090872', 'figiuid': 'EQ0087231700001000', 'scfigi': 'BBG001SCTQY4', 'cfigi': 'BBG000C2V3D6', 'figi': 'BBG000C2V3D6'}",https://api.polygon.io/v2/tickers/A
AA,Alcoa Corporation,STOCKS,US,CS,USD,True,NYE,2020-10-26,"{'cik': '0001675149', 'figiuid': 'EQ0000000045469815', 'scfigi': 'BBG00B3T3HF1', 'cfigi': 'BBG00B3T3HD3', 'figi': 'BBG00B3T3HD3'}",https://api.polygon.io/v2/tickers/AA
AAA,AAF First Priority CLO Bond ETF,STOCKS,US,,USD,True,ARCA,2020-09-10,,https://api.polygon.io/v2/tickers/AAA
AAAG,AAA Century Group USA Inc,STOCKS,US,,USD,True,GREY,2020-06-23,"{'cik': '0001451947', 'figiuid': 'EQ0000000017880153', 'scfigi': 'BBG001V28ND5', 'cfigi': 'BBG001R3MPR2', 'figi': 'BBG001R3MQ72'}",https://api.polygon.io/v2/tickers/AAAG
AAAIF,Alternative Investment Trust Units (Austrailia),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000021131053', 'scfigi': 'BBG001SPVKJ2', 'cfigi': 'BBG0029J1X37', 'figi': 'BBG0029J1X37'}",https://api.polygon.io/v2/tickers/AAAIF
AAALF,Aareal Bank AG AKT,STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000000233556', 'scfigi': 'BBG001SG8HX9', 'cfigi': 'BBG000PL5HY5', 'figi': 'BBG000PL5HY5'}",https://api.polygon.io/v2/tickers/AAALF
AAALY,Aareal Bank AG Unsponsored American Depository Receipt (Germany),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000020573680', 'scfigi': 'BBG002628F57', 'cfigi': 'BBG002628DF1', 'figi': 'BBG002628DX1'}",https://api.polygon.io/v2/tickers/AAALY
AAAP,Wool Industry Tria Alfa S.A..,STOCKS,US,PFD,EUR,True,NGS,2020-06-23,"{'figiuid': 'EQ0016246000100000', 'scfigi': 'BBG001S7LXQ7', 'cfigi': 'BBG000C06GP6', 'figi': 'BBG000C06H01'}",https://api.polygon.io/v2/tickers/AAAP
AAARF,Aluar Aluminio Argentino Sa Alua Ordinary Shares 1 Vote (Argentina),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000008276662', 'scfigi': 'BBG001S8KMC5', 'cfigi': 'BBG000RV3PZ4', 'figi': 'BBG000RV3PZ4'}",https://api.polygon.io/v2/tickers/AAARF
AAAU,Perth Mint Physical Gold ETF (Trust),STOCKS,US,,USD,True,ARCA,2020-06-23,"{'cik': '0001708646', 'figiuid': 'EQ0000000067365924', 'scfigi': 'BBG00LPXX8Z1', 'cfigi': 'BBG00LPXX872', 'figi': 'BBG00LPXX8D5'}",https://api.polygon.io/v2/tickers/AAAU
AABA,Altaba Inc,STOCKS,US,,USD,True,NGS,2020-06-23,"{'cik': '0001011006', 'figiuid': 'EQ0018613000001000', 'scfigi': 'BBG001S8V781', 'cfigi': 'BBG000GFFQN9', 'figi': 'BBG000GFJ6R5'}",https://api.polygon.io/v2/tickers/AABA
AABB,Asia Broadband Inc Common Stock,STOCKS,US,,USD,True,OTC,2020-06-23,"{'cik': '0001287145', 'figiuid': 'EQ0141430200001000', 'scfigi': 'BBG001SGRBK5', 'cfigi': 'BBG000CWNRN5', 'figi': 'BBG000CWQ337'}",https://api.polygon.io/v2/tickers/AABB
AABNF,Altin AG,STOCKS,US,,USD,True,GREY,2020-06-23,"{'figiuid': 'EQ0000000000079852', 'scfigi': 'BBG001SK3BC1', 'cfigi': 'BBG000BTWFQ6', 'figi': 'BBG000BTWFQ6'}",https://api.polygon.io/v2/tickers/AABNF
AABVF,Aberdeen International Inc Ordinary Shares,STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0011010800001003', 'scfigi': 'BBG001S6XZ90', 'cfigi': 'BBG000BXKHJ4', 'figi': 'BBG000BXKQW9'}",https://api.polygon.io/v2/tickers/AABVF
AAC,AAC Microtec AB,STOCKS,US,,SEK,True,NYE,2020-06-23,"{'figiuid': 'EQ0000000037820666', 'scfigi': 'BBG0077N8Z46', 'cfigi': 'BBG0077N8YF7', 'figi': 'BBG00FB2RV10'}",https://api.polygon.io/v2/tickers/AAC
AACAF,AAC Technologies Holdings Inc Ordinary Shares (Cayman Islands),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000002305614', 'scfigi': 'BBG001SKMWN2', 'cfigi': 'BBG000C3S2Q6', 'figi': 'BBG000C3S8L8'}",https://api.polygon.io/v2/tickers/AACAF
AACAY,AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000007139171', 'scfigi': 'BBG001T3PT80', 'cfigi': 'BBG000VNTB62', 'figi': 'BBG000VNTFR0'}",https://api.polygon.io/v2/tickers/AACAY
AACEY,Asia Cement China Holdings Corp,STOCKS,US,,USD,True,OTO,2020-06-23,"{'figiuid': 'EQ0000000007561310', 'scfigi': 'BBG001T45225', 'cfigi': 'BBG000L05F33', 'figi': 'BBG000L05F33'}",https://api.polygon.io/v2/tickers/AACEY
AACG,ATA Creativity Global American Depositary Shares,STOCKS,US,,USD,True,NASDAQ,2020-06-23,"{'figiuid': 'EQ0000000005347946', 'scfigi': 'BBG001T125S9', 'cfigi': 'BBG000V2S3P6', 'figi': 'BBG000V2S9C7'}",https://api.polygon.io/v2/tickers/AACG
AACH,AAC HLDGS INC Common Stock,STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000036400807', 'scfigi': 'BBG006T1NZ27', 'cfigi': 'BBG006T1NZ18', 'figi': 'BBG006T1NZK7'}",https://api.polygon.io/v2/tickers/AACH
AACMF,Asia Cement,STOCKS,US,,TWD,True,GREY,2020-06-23,{'cik': '0000899136'},https://api.polygon.io/v2/tickers/AACMF
AACQ,Artius Acquisition Inc. Class A Common Stock,STOCKS,US,,USD,True,NASDAQ,2020-09-05,,https://api.polygon.io/v2/tickers/AACQ
AACQU,Artius Acquisition Inc. Unit,STOCKS,US,,USD,True,NASDAQ,2020-07-15,,https://api.polygon.io/v2/tickers/AACQU
AACQW,Artius Acquisition Inc Warrant,STOCKS,US,,USD,True,NASDAQ,2020-09-05,,https://api.polygon.io/v2/tickers/AACQW
AACS,"American Commerce Solutions, Inc. Common Stock",STOCKS,US,,USD,True,OTC,2020-06-23,"{'cik': '0000949982', 'figiuid': 'EQ0017977000001000', 'scfigi': 'BBG001SBV1Z7', 'cfigi': 'BBG000JVQ2Q9', 'figi': 'BBG000JVQGV2'}",https://api.polygon.io/v2/tickers/AACS
AACTF,AURORA SOLAR TECHNOLOGIES INC  Common Shares,STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000031867758', 'scfigi': 'BBG001STZM33', 'cfigi': 'BBG005BTJ9X6', 'figi': 'BBG005BTJBD3'}",https://api.polygon.io/v2/tickers/AACTF
AADR,AdvisorShares Dorsey Wright ADR ETF,STOCKS,US,,USD,True,ARCA,2020-06-23,"{'figiuid': 'EQ0000000010636243', 'scfigi': 'BBG001T9B1Y4', 'cfigi': 'BBG000BDYRW6', 'figi': 'BBG000BDYVZ4'}",https://api.polygon.io/v2/tickers/AADR
AAEEF,Altair Res Inc Common Shares,STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000021744067', 'scfigi': 'BBG001SPCXW0', 'cfigi': 'BBG002DMMHW5', 'figi': 'BBG002DMMJC3'}",https://api.polygon.io/v2/tickers/AAEEF
AAFGF,Anglo African Oil & Gas Plc,STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000069767824', 'scfigi': 'BBG00G50MZK4', 'cfigi': 'BBG00MJW6WS3', 'figi': 'BBG00MJW6X74'}",https://api.polygon.io/v2/tickers/AAFGF
AAFRF,Airtel Africa Plc Ordinary Shares (United Kingdom),STOCKS,US,,USD,True,OTC,2020-09-05,,https://api.polygon.io/v2/tickers/AAFRF
AAGC,All American Gold Corp. Common Stock,STOCKS,US,,USD,True,OTC,2020-06-23,"{'cik': '0001409430', 'figiuid': 'EQ0000000010542876', 'scfigi': 'BBG001T948W9', 'cfigi': 'BBG000R4MM71', 'figi': 'BBG000R4MXH6'}",https://api.polygon.io/v2/tickers/AAGC
AAGEF,AAG Energy Holdings Ltd Ordinary Shares (Cayman Islands),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000051598860', 'scfigi': 'BBG009CXGZ54', 'cfigi': 'BBG00DRM6D17', 'figi': 'BBG00DRM6DH0'}",https://api.polygon.io/v2/tickers/AAGEF
AAGFF,Aftermath Silver Ltd Ordinary Shares,STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000019703715', 'scfigi': 'BBG001V0ZJL9', 'cfigi': 'BBG001ZZWS68', 'figi': 'BBG001ZZWSP7'}",https://api.polygon.io/v2/tickers/AAGFF
AAGGY,AIA ENGR LTD  American Depositary Receipts - Unsponsored,STOCKS,US,,USD,True,GREY,2020-03-30,,https://api.polygon.io/v2/tickers/AAGGY
AAGH,America Great Health Common Stock,STOCKS,US,,USD,True,OTC,2020-06-23,"{'cik': '0001098009', 'figiuid': 'EQ0000000025226539', 'scfigi': 'BBG003443JG8', 'cfigi': 'BBG003443HQ1', 'figi': 'BBG003443J69'}",https://api.polygon.io/v2/tickers/AAGH
AAGIY,"AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)",STOCKS,US,,USD,True,OTC,2020-06-23,"{'cik': '0001511634', 'figiuid': 'EQ0000000017880229', 'scfigi': 'BBG001V28NN4', 'cfigi': 'BBG001R3QP52', 'figi': 'BBG001R3QPN2'}",https://api.polygon.io/v2/tickers/AAGIY
AAGRY,Astra Agro Lestari TBK PT Unsponsored ADR (Indonesia),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000010197651', 'scfigi': 'BBG001T8KP46', 'cfigi': 'BBG000KF9H79', 'figi': 'BBG000KF9TW5'}",https://api.polygon.io/v2/tickers/AAGRY
AAHIF,Asahi Co Ltd Osaka Ordinary Shares (Japan),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000001345721', 'scfigi': 'BBG001SM5XQ2', 'cfigi': 'BBG000Q9RDV9', 'figi': 'BBG002JRGQZ2'}",https://api.polygon.io/v2/tickers/AAHIF
AAIGF,"AIA Group, Ltd. Ordinary Shares (Hong Kong)",STOCKS,US,,USD,True,OTC,2020-06-23,"{'cik': '0001511634', 'figiuid': 'EQ0000000013430369', 'scfigi': 'BBG001T6WWK4', 'cfigi': 'BBG001BDZ212', 'figi': 'BBG001BDZ2K1'}",https://api.polygon.io/v2/tickers/AAIGF
AAIIQ,"Alabama Aircraft Industries, Inc. Common Stock",STOCKS,US,,USD,True,OTC,2020-06-23,"{'cik': '0000771729', 'figiuid': 'EQ0010602500001000', 'scfigi': 'BBG001SD4Q88', 'cfigi': 'BBG000HPGHW5', 'figi': 'BBG000HPGVL6'}",https://api.polygon.io/v2/tickers/AAIIQ
AAINF,Asiabasemetals Inc Common Shares,STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000023629420', 'scfigi': 'BBG001T517Z9', 'cfigi': 'BBG002XRKG74', 'figi': 'BBG002XRKGQ3'}",https://api.polygon.io/v2/tickers/AAINF
AAIR,Avantair Inc,STOCKS,US,,USD,True,CVEM,2020-06-23,"{'cik': '0001303849', 'figiuid': 'EQ0000000001649169', 'scfigi': 'BBG001S8CKX5', 'cfigi': 'BBG000BJ3SD6', 'figi': 'BBG000BJ3SD6'}",https://api.polygon.io/v2/tickers/AAIR
AAIRF,American Aires Inc. Common Shares  Canada(CA ),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000081399693', 'scfigi': 'BBG00L8QSZF3', 'cfigi': 'BBG00RD2H0V8', 'figi': 'BBG00RD2H191'}",https://api.polygon.io/v2/tickers/AAIRF
AAIT,Al Anwar Hldgs,STOCKS,US,,OMR,True,NSD,2020-06-23,"{'figiuid': 'EQ0018766400001000', 'scfigi': 'BBG001S93KB7', 'cfigi': 'BBG000H2KRY7', 'figi': 'BBG000H2KSX6'}",https://api.polygon.io/v2/tickers/AAIT
AAL,American Airlines Group Inc. Common Stock,STOCKS,US,,USD,True,NASDAQ,2020-06-23,"{'cik': '0000006201', 'figiuid': 'EQ0000000033024206', 'scfigi': 'BBG005P7Q907', 'cfigi': 'BBG005P7Q881', 'figi': 'BBG005P7Q8V5'}",https://api.polygon.io/v2/tickers/AAL
AALBF,Aalberts Industries NV Ordinary Shares (Netherlands),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000029845792', 'scfigi': 'BBG001S5SGH1', 'cfigi': 'BBG004H5VX13', 'figi': 'BBG004H5VXJ4'}",https://api.polygon.io/v2/tickers/AALBF
AAMAF,Atlas Mara Co Nvest Ltd. Ordinary Shares (Virgin Islands British),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000033975084', 'scfigi': 'BBG005PD4Q28', 'cfigi': 'BBG005Y46SK2', 'figi': 'BBG005Y46T11'}",https://api.polygon.io/v2/tickers/AAMAF
AAMC,Altisource Asset Mgmt Corp,STOCKS,US,,USD,True,AMX,2020-06-23,"{'cik': '0001555074', 'figiuid': 'EQ0000000027544942', 'scfigi': 'BBG003PNL145', 'cfigi': 'BBG003PNL136', 'figi': 'BBG003Q1GJL0'}",https://api.polygon.io/v2/tickers/AAMC
AAME,Atlantic American Corporation Common Stock,STOCKS,US,,USD,True,NASDAQ,2020-06-23,"{'cik': '0000008177', 'figiuid': 'EQ0010179600001000', 'scfigi': 'BBG001S5N8T1', 'cfigi': 'BBG000B9XB24', 'figi': 'BBG000B9XMQ4'}",https://api.polygon.io/v2/tickers/AAME
AAMMF,Almadex Minerals Ltd Ordinary Shares (Canada),STOCKS,US,,USD,True,OTC,2020-06-23,"{'figiuid': 'EQ0000000065322418', 'scfigi': 'BBG00K66WBV1', 'cfigi': 'BBG00L1LR0B3', 'figi': 'BBG00L1LR0T4'}",https://api.polygon.io/v2/tickers/AAMMF
