date,ticker,ratio,date_adj,ratio_adj
2014-01-21,MA, 0.100 ,2014-01-22, 0.100 
2015-07-14,NFLX, 0.143 ,2015-07-15, 0.143 
2010-01-21,BRK.A, 0.020 ,2010-01-21, 1.000 
2010-01-04,EWZ, 0.333 ,2010-01-04, 1.000 
2008-10-08,EWZ, 0.333 ,2008-10-08, 1.000 
2013-02-25,JEF, 0.974 ,2013-02-25, 1.000 
2006-06-15,JEF, 0.500 ,2006-05-16, 0.500 
2005-01-03,JEF, 0.667 ,2005-01-03, 1.000 
2010-07-19,WY, 0.500 ,2010-07-20, 0.500 
2006-05-31,STN, 0.500 ,2006-05-31, 1.000 
2014-03-06,CTSH, 0.500 ,2014-03-10, 0.500 
2011-05-19,ENB, 0.500 ,2011-05-19, 1.000 
2017-01-11,TQQQ, 0.500 ,2017-01-12, 0.500 
2005-08-09,MNST, 0.500 ,2005-08-09, 1.000 
2006-07-10,MNST, 0.250 ,2006-07-10, 1.000 
2015-02-18,CNC, 0.500 ,2015-02-20, 0.500 
2016-08-31,CHD, 0.500 ,2016-09-02, 0.500 
2013-12-19,SPR, 100.000 ,2013-12-19, 1.000 
2011-06-07,SPR, 3.000 ,2011-06-07, 1.000 
2008-06-09,ERIC, 0.500 ,2008-06-10, 0.500 
2005-05-13,PDS, 0.500 ,2005-05-13, 1.000 
2014-09-09,CLR, 0.500 ,2014-09-11, 0.500 
2011-04-11,GEN, 10.000 ,2011-04-11, 1.000 
2015-09-10,NUGT, 10.000 ,2015-09-10, 1.000 
2020-06-30,ODP, 10.000 ,2020-06-30, 1.000 
2011-11-01,ITT, 2.000 ,2011-11-01, 0.500 
2006-06-05,ADS, 4.000 ,2006-06-05, 1.000 
2015-09-10,TZA, 4.000 ,2015-09-10, 1.000 
2015-09-10,FAZ, 4.000 ,2015-09-10, 1.000 
2010-11-08,VXX, 4.000 ,2010-11-09, 4.000 
2011-06-30,MRO, 0.597 ,2011-07-01, 0.597 
2019-04-01,JNK, 3.000 ,2019-04-01, 1.000 
2017-01-03,HLT, 3.000 ,2017-01-03, 1.000 
2007-04-03,CAL, 0.667 ,2007-04-03, 1.000 
2006-04-04,CAL, 0.667 ,2006-04-04, 1.000 
2017-02-01,CTXS, 0.500 ,2017-02-01, 0.840 
2014-03-27,GOOG, 2.000 ,2014-04-03, 2.000 
2013-05-15,CPA, 2.000 ,2013-05-15, 1.000 
2013-04-23,CPA, 2.000 ,2013-04-23, 1.000 
2011-12-22,EXPE, 2.000 ,2011-12-22, 1.000 
,,,,